[ SWEEP SETTINGS ];;;
Bias & Step SMU NPLC;0.1;;
Bias & Step SMU Auto Zero;ONCE;;
Bias & Step SMU Source Delay;0 s;;
Bias & Step SMU Measure Count;1;;
Bias & Step SMU Measure Delay;0 s;;
Bias & Step SMU Measure Delay Factor;1.0;;
Bias & Step SMU Filter Type;OFF;;
Bias & Step SMU Filter Count;Not Applicable;;
Bias & Step SMU Analog Filter;Not Applicable;;
Sweep SMU Timing;Same as Bias & Step SMU;;
Sweep SMU Sampling Interval;Not Applicable;;
Sweep SMU Sampling Count;Not Applicable;;
Sweep SMU Sampling Delay;Not Applicable;;
Sweep SMU Sampling Analog Filter;Not Applicable;;
;;;
Instrument Name;Sweep_SMU;;
Instrument ID;localnode.smub;;
Assignment Type;Sweep;;
Source Function;voltage;;
Source Mode;Normal;;
Measure Function;current;;
Sense Mode;Two-Wire;;
Asymptote;Not Applicable;;
Source Limit;4.5 mA;;
Source Range;2 V;;
Bias Source Value;Not Applicable;;
Step/Sweep Start Level;-700.0 mV;;
91;44.99989;0.5727273;1.376867E-5
92;45.49989;0.5868687;1.423359E-5
93;45.99989;0.6010101;1.467466E-5
94;46.49989;0.6151515;1.41263E-5
95;46.99989;0.6292929;1.339912E-5
96;47.49989;0.6434343;1.401901E-5
97;47.99989;0.6575758;1.437664E-5
98;48.49989;0.6717172;1.538992E-5
99;48.99989;0.6858586;1.517534E-5
100;49.49989;0.7;1.618862E-5
